Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.732","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.835","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2002","2002","°C","1.015","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.895","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.916","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.109","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2006","2006","°C","1.004","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.199","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.937","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.961","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.22","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.925","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.081","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.023","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.059","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.424","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.668","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.438","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.301","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.463","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.719","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.463","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1962","1962","°C","0.165","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.176","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.365","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.41","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.27","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.014","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1968","1968","°C","0.057","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.529","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.171","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1971","1971","°C","0.04","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.435","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.24","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.18","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1975","1975","°C","0.379","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.374","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.371","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1978","1978","°C","-0.173","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.044","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.322","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.81","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1982","1982","°C","-0.109","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.695","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1984","1984","°C","0.12","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.303","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.276","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.16","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.656","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.579","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.813","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.553","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.31","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.406","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.502","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1995","1995","°C","1.212","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.288","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.759","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1998","1998","°C","0.957","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.867","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2000","2000","°C","1.082","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.951","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2002","2002","°C","1.136","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.952","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2004","2004","°C","1.014","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.355","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2006","2006","°C","1.088","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.677","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2008","2008","°C","1.224","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.904","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.209","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2011","2011","°C","1.09","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.515","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.115","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.147","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.633","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2016","2016","°C","2.121","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.632","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.413","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.638","Fc","Calculated data"
"ET","Temperature change","5848","Annex I countries","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.249","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.029","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.061","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.157","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.179","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.095","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.151","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.185","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.25","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1969","1969","°C","0.225","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.134","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.19","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.026","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.289","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.18","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.123","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.265","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.202","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1978","1978","°C","0.13","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.355","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.34","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.175","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.224","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.286","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1984","1984","°C","0.124","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1985","1985","°C","0.155","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.209","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.564","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.48","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.151","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.516","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.407","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.103","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.321","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.508","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.573","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.406","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.583","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.015","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.731","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.489","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.752","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.93","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.854","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.845","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.937","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.944","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.868","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.736","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.001","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.226","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.807","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.777","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.957","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.997","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.276","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.35","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.299","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.223","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.34","Fc","Calculated data"
"ET","Temperature change","5849","Non-Annex I countries","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.346","Fc","Calculated data"
